1966001,SolidGoldMagikarp,1501496152.0,dky60xv,6qlizt
1966002,overdrafts,1501496215.0,dky62pp,6qlizt
1966003,DemonBurritoCat,1501496293.0,dky64vh,6qlizt
1966004,overdrafts,1501496306.0,dky658l,6qlizt
1966005,DemonBurritoCat,1501496426.0,dky68kt,6qlizt
1966006,overdrafts,1501496451.0,dky6999,6qlizt
1966007,kdiuro13,1501496460.0,dky69ih,6qlizt
1966008,SolidGoldMagikarp,1501496473.0,dky69wc,6qlizt
1966009,DemonBurritoCat,1501496497.0,dky6ak1,6qlizt
1966010,SolidGoldMagikarp,1501496528.0,dky6bdy,6qlizt
1966011,kdiuro13,1501496563.0,dky6cc2,6qlizt
1966012,SolidGoldMagikarp,1501496572.0,dky6cma,6qlizt
1966013,DemonBurritoCat,1501496616.0,dky6dso,6qlizt
1966014,SolidGoldMagikarp,1501496626.0,dky6e1r,6qlizt
1966015,kdiuro13,1501496637.0,dky6ecw,6qlizt
1966016,SolidGoldMagikarp,1501496640.0,dky6efy,6qlizt
1966017,kdiuro13,1501496648.0,dky6eoj,6qlizt
1966018,SolidGoldMagikarp,1501496650.0,dky6equ,6qlizt
1966019,kdiuro13,1501496658.0,dky6eyr,6qlizt
1966020,SolidGoldMagikarp,1501496662.0,dky6f2m,6qlizt
1966021,kdiuro13,1501496670.0,dky6f9v,6qlizt
1966022,SolidGoldMagikarp,1501496673.0,dky6fdh,6qlizt
1966023,kdiuro13,1501496677.0,dky6fi3,6qlizt
1966024,SolidGoldMagikarp,1501496680.0,dky6fkx,6qlizt
1966025,kdiuro13,1501496683.0,dky6fnf,6qlizt
1966026,SolidGoldMagikarp,1501496687.0,dky6fqy,6qlizt
1966027,kdiuro13,1501496692.0,dky6fvq,6qlizt
1966028,SolidGoldMagikarp,1501496704.0,dky6g7k,6qlizt
1966029,kdiuro13,1501496786.0,dky6iei,6qlizt
1966030,SolidGoldMagikarp,1501496803.0,dky6ivx,6qlizt
1966031,kdiuro13,1501496818.0,dky6jat,6qlizt
1966032,SolidGoldMagikarp,1501496826.0,dky6jiw,6qlizt
1966033,overdrafts,1501496914.0,dky6lue,6qlizt
1966034,Richard_Schaosid,1501496949.0,dky6mru,6qlizt
1966035,overdrafts,1501496988.0,dky6ntr,6qlizt
1966036,Richard_Schaosid,1501496993.0,dky6nys,6qlizt
1966037,overdrafts,1501497004.0,dky6o8v,6qlizt
1966038,Richard_Schaosid,1501497088.0,dky6qk8,6qlizt
1966039,overdrafts,1501497090.0,dky6qml,6qlizt
1966040,Richard_Schaosid,1501497093.0,dky6qpe,6qlizt
1966041,overdrafts,1501497101.0,dky6qwr,6qlizt
1966042,Richard_Schaosid,1501497106.0,dky6r19,6qlizt
1966043,overdrafts,1501497109.0,dky6r4p,6qlizt
1966044,Richard_Schaosid,1501497112.0,dky6r7v,6qlizt
1966045,overdrafts,1501497114.0,dky6r94,6qlizt
1966046,Richard_Schaosid,1501497116.0,dky6rbc,6qlizt
1966047,overdrafts,1501497117.0,dky6rcf,6qlizt
1966048,Richard_Schaosid,1501497119.0,dky6reh,6qlizt
1966049,overdrafts,1501497121.0,dky6rgj,6qlizt
1966050,Richard_Schaosid,1501497123.0,dky6ri4,6qlizt
1966051,overdrafts,1501497124.0,dky6rk3,6qlizt
1966052,Richard_Schaosid,1501497126.0,dky6rlj,6qlizt
1966053,overdrafts,1501497129.0,dky6roa,6qlizt
1966054,Richard_Schaosid,1501497131.0,dky6rpn,6qlizt
1966055,overdrafts,1501497133.0,dky6rs0,6qlizt
1966056,Richard_Schaosid,1501497138.0,dky6rvz,6qlizt
1966057,overdrafts,1501497140.0,dky6ryq,6qlizt
1966058,Richard_Schaosid,1501497143.0,dky6s0s,6qlizt
1966059,overdrafts,1501497145.0,dky6s34,6qlizt
1966060,Richard_Schaosid,1501497146.0,dky6s4o,6qlizt
1966061,overdrafts,1501497150.0,dky6s92,6qlizt
1966062,Richard_Schaosid,1501497152.0,dky6saj,6qlizt
1966063,overdrafts,1501497153.0,dky6sc0,6qlizt
1966064,Richard_Schaosid,1501497155.0,dky6sdv,6qlizt
1966065,overdrafts,1501497159.0,dky6sh4,6qlizt
1966066,Richard_Schaosid,1501497161.0,dky6sj1,6qlizt
1966067,overdrafts,1501497165.0,dky6sm0,6qlizt
1966068,Richard_Schaosid,1501497171.0,dky6ssb,6qlizt
1966069,overdrafts,1501497176.0,dky6sx2,6qlizt
1966070,Richard_Schaosid,1501497197.0,dky6ti7,6qlizt
1966071,overdrafts,1501497207.0,dky6tth,6qlizt
1966072,Richard_Schaosid,1501497215.0,dky6u10,6qlizt
1966073,overdrafts,1501497231.0,dky6ugd,6qlizt
1966074,Richard_Schaosid,1501497234.0,dky6uj4,6qlizt
1966075,overdrafts,1501497237.0,dky6umi,6qlizt
1966076,Richard_Schaosid,1501497241.0,dky6upn,6qlizt
1966077,overdrafts,1501497242.0,dky6uqz,6qlizt
1966078,Richard_Schaosid,1501497246.0,dky6uv1,6qlizt
1966079,overdrafts,1501497250.0,dky6uz3,6qlizt
1966080,Richard_Schaosid,1501497256.0,dky6v45,6qlizt
1966081,overdrafts,1501497266.0,dky6vcw,6qlizt
